Sample_Index,Actual_RUL,Predicted_RUL,Condition_Label
0,22,32.165447,WARNING
1,39,47.223316,WARNING
2,107,101.373634,NORMAL
3,75,100.79777,NORMAL
4,125,83.65983,NORMAL
5,78,103.27453,NORMAL
6,94,66.015274,NORMAL
7,14,11.862711,CRITICAL
8,99,100.76682,NORMAL
9,125,71.14152,NORMAL
10,125,118.52403,NORMAL
11,7,8.675179,CRITICAL
12,71,68.32929,NORMAL
13,105,91.76992,NORMAL
14,12,17.963902,CRITICAL
15,125,119.98835,NORMAL
16,125,105.633125,NORMAL
17,104,85.211266,NORMAL
18,125,98.06252,NORMAL
19,82,68.25658,NORMAL
20,91,98.854195,NORMAL
21,11,9.290594,CRITICAL
22,26,40.554317,WARNING
23,125,83.85891,NORMAL
24,39,32.30813,WARNING
25,92,98.75055,NORMAL
26,76,94.812294,NORMAL
27,124,122.71099,NORMAL
28,64,73.871826,NORMAL
29,118,118.67796,NORMAL
30,6,14.295142,CRITICAL
31,22,16.209396,CRITICAL
32,125,121.83136,NORMAL
33,125,69.91417,NORMAL
34,36,18.737713,CRITICAL
35,73,59.120914,NORMAL
36,89,63.284626,NORMAL
37,11,24.095154,WARNING
38,125,74.430534,NORMAL
39,10,15.877233,CRITICAL
40,97,53.90844,NORMAL
41,30,33.69809,WARNING
42,42,117.67888,NORMAL
43,60,28.306126,WARNING
44,85,106.51441,NORMAL
45,125,89.709984,NORMAL
46,34,28.563568,WARNING
47,45,51.118202,NORMAL
48,24,20.291458,WARNING
49,86,74.84339,NORMAL
50,119,121.91573,NORMAL
51,125,123.19456,NORMAL
52,125,120.55677,NORMAL
53,125,107.777405,NORMAL
54,125,120.95503,NORMAL
55,67,54.65403,NORMAL
56,97,119.45338,NORMAL
57,8,9.033804,CRITICAL
58,125,117.953545,NORMAL
59,125,108.78919,NORMAL
60,51,31.864956,WARNING
61,33,31.003407,WARNING
62,125,120.31121,NORMAL
63,46,38.531567,WARNING
64,12,19.238976,CRITICAL
65,125,107.599075,NORMAL
66,46,33.532864,WARNING
67,46,40.047127,WARNING
68,12,15.340228,CRITICAL
69,33,40.383274,WARNING
70,15,15.940217,CRITICAL
71,125,119.361786,NORMAL
72,23,31.395954,WARNING
73,89,98.39028,NORMAL
74,124,109.92843,NORMAL
75,125,120.13311,NORMAL
76,25,88.483246,NORMAL
77,74,93.85204,NORMAL
