Sample_Index,Actual_RUL,Predicted_RUL,Condition_Label
0,112,117.38051,NORMAL
1,98,120.46362,NORMAL
2,69,55.580536,NORMAL
3,82,97.58245,NORMAL
4,91,114.61183,NORMAL
5,93,112.3196,NORMAL
6,91,98.31135,NORMAL
7,95,98.43032,NORMAL
8,111,120.956856,NORMAL
9,96,98.27393,NORMAL
10,97,80.22503,NORMAL
11,124,111.89844,NORMAL
12,95,89.78813,NORMAL
13,107,117.47637,NORMAL
14,83,110.55218,NORMAL
15,84,108.399055,NORMAL
16,50,42.996017,WARNING
17,28,22.863413,WARNING
18,87,75.74995,NORMAL
19,16,16.861021,CRITICAL
20,57,74.57946,NORMAL
21,111,125.10659,NORMAL
22,113,121.40548,NORMAL
23,20,17.590986,CRITICAL
24,125,117.00094,NORMAL
25,119,118.566086,NORMAL
26,66,102.68923,NORMAL
27,97,115.53561,NORMAL
28,90,105.435875,NORMAL
29,115,110.60818,NORMAL
30,8,4.1701117,CRITICAL
31,48,33.31876,WARNING
32,106,114.792366,NORMAL
33,7,4.459555,CRITICAL
34,11,7.6146903,CRITICAL
35,19,23.721418,WARNING
36,21,21.782303,WARNING
37,50,46.859512,WARNING
38,125,122.62115,NORMAL
39,28,26.070208,WARNING
40,18,18.310122,CRITICAL
41,10,8.487654,CRITICAL
42,59,80.992134,NORMAL
43,109,101.21749,NORMAL
44,114,99.285065,NORMAL
45,47,44.621494,WARNING
46,125,117.50778,NORMAL
47,92,116.92296,NORMAL
48,21,15.461406,CRITICAL
49,79,87.763374,NORMAL
50,114,114.63555,NORMAL
51,29,27.018396,WARNING
52,26,25.059074,WARNING
53,97,122.18154,NORMAL
54,125,112.00753,NORMAL
55,15,13.707541,CRITICAL
56,103,113.63669,NORMAL
57,37,49.261703,WARNING
58,114,116.52447,NORMAL
59,100,117.24639,NORMAL
60,21,17.107069,CRITICAL
61,54,38.865982,WARNING
62,72,92.71453,NORMAL
63,28,21.243977,WARNING
64,125,123.46955,NORMAL
65,14,15.885105,CRITICAL
66,77,117.462776,NORMAL
67,8,4.1321254,CRITICAL
68,121,120.34303,NORMAL
69,94,104.05779,NORMAL
70,118,115.119026,NORMAL
71,50,66.30537,NORMAL
72,125,112.98866,NORMAL
73,125,112.1605,NORMAL
74,113,93.60764,NORMAL
75,10,3.4091256,CRITICAL
76,34,29.281128,WARNING
77,107,124.40089,NORMAL
78,63,100.34562,NORMAL
79,90,111.00759,NORMAL
80,8,4.792119,CRITICAL
81,9,9.883553,CRITICAL
82,125,118.990105,NORMAL
83,58,72.4374,NORMAL
84,118,122.810555,NORMAL
85,89,117.480675,NORMAL
86,116,119.35879,NORMAL
87,115,118.71798,NORMAL
88,125,117.63334,NORMAL
89,28,26.323309,WARNING
90,38,23.739315,WARNING
91,20,20.974043,WARNING
92,85,39.500748,WARNING
93,55,60.94648,NORMAL
94,125,101.16399,NORMAL
95,125,114.38346,NORMAL
96,82,95.157776,NORMAL
97,59,104.57898,NORMAL
98,117,121.91379,NORMAL
99,20,14.727426,CRITICAL
